sample,patient,null,component,n_original_centers,max_z,p_scan_section,p_scan_three_sections,n_centers_scan_p_le_005,best_center_cell_id,x_um,y_um
NCBI784,P07,global,0,70,9.29219491653613,0.0005,0.0015,12,16214,646.7168243408203,1397.1242065429688
NCBI784,P07,global,1,158,10.457571729352717,0.0005,0.0015,41,43710,879.0755615234375,2084.678540039062
NCBI784,P07,global,2,126,6.817540619809247,0.0115,0.0345,1,45432,1052.3806213378905,2698.1203857421874
NCBI784,P07,global,3,18,7.426542227142921,0.0045,0.013499999999999998,7,48648,1053.3194396972656,3480.928674316406
NCBI784,P07,global,4,50,7.191721211296996,0.006,0.018000000000000002,7,16319,501.814859008789,1065.9797912597655
NCBI784,P07,global,5,7,5.478264640490401,0.182,0.546,0,16705,345.09411163330077,1632.207208251953
NCBI784,P07,global,6,2,4.787214294636651,0.5585,1.0,0,92247,5423.8819580078125,1742.6128906249999
NCBI784,P07,technical,0,70,6.388198691164426,0.041,0.123,0,16214,646.7168243408203,1397.1242065429688
NCBI784,P07,technical,1,158,5.571670516123192,0.1735,0.5205,0,43715,878.347998046875,2070.936804199219
NCBI784,P07,technical,2,126,4.069009440522415,0.963,1.0,0,45367,1188.0958007812499,2654.995751953125
NCBI784,P07,technical,3,18,6.74459662287073,0.0225,0.0675,0,48660,1041.4416442871093,3509.7790771484374
NCBI784,P07,technical,4,50,4.19964445639931,0.924,1.0,0,17202,463.41331787109374,1158.78076171875
NCBI784,P07,technical,5,7,3.13884465035676,1.0,1.0,0,16724,330.3231567382812,1608.9620117187499
NCBI784,P07,technical,6,2,3.6811224119659602,0.9985,1.0,0,92247,5423.8819580078125,1742.6128906249999
NCBI784,P07,context,0,70,5.167379261796143,0.352,1.0,0,16214,646.7168243408203,1397.1242065429688
NCBI784,P07,context,1,158,4.8830318688856975,0.536,1.0,0,43715,878.347998046875,2070.936804199219
NCBI784,P07,context,2,126,2.9429376176454727,1.0,1.0,0,45354,1153.0303955078125,2631.264855957031
NCBI784,P07,context,3,18,4.665770132125202,0.6885,1.0,0,3871,1026.6791198730468,3395.3528076171874
NCBI784,P07,context,4,50,3.818914094278411,0.9955,1.0,0,17202,463.41331787109374,1158.78076171875
NCBI784,P07,context,5,7,2.1851313717495193,1.0,1.0,0,16705,345.09411163330077,1632.207208251953
NCBI784,P07,context,6,2,2.6382492761211953,1.0,1.0,0,92247,5423.8819580078125,1742.6128906249999
NCBI783,P08,global,0,331,5.519258353264,0.0325,0.0975,0,noekbgob-1,2997.7707031249997,2387.3036499023438
NCBI783,P08,global,1,139,3.550420285927436,0.974,1.0,0,ldmnanoh-1,3401.767858886719,3945.9652099609375
NCBI783,P08,global,2,248,5.080770128709748,0.113,0.339,0,fflfgagh-1,2140.4525268554685,1078.4258789062499
NCBI783,P08,global,3,89,7.220169305956319,0.001,0.003,6,ndidcjec-1,2688.210498046875,1681.308508300781
NCBI783,P08,global,4,261,4.828746016676456,0.1945,0.5835,0,aibmoimj-1,1651.7386352539063,1716.8881469726562
NCBI783,P08,global,5,137,4.608902552469532,0.3055,0.9165,0,gedfmpik-1,2099.1654785156247,2446.862585449219
NCBI783,P08,global,6,121,4.1670011561711044,0.6425,1.0,0,ajjigopm-1,1650.983575439453,2281.112377929687
NCBI783,P08,global,7,41,7.120875509757743,0.001,0.003,2,gkmjmbod-1,3349.095666503906,548.9636596679687
NCBI783,P08,global,8,93,3.1878694213000394,1.0,1.0,0,kpbokgik-1,3833.3190429687497,3798.9247558593747
NCBI783,P08,global,9,134,5.242543988934154,0.08,0.24,0,bjpddppj-1,2972.8490600585938,3179.9010498046873
NCBI783,P08,global,10,6,3.0455682494376375,1.0,1.0,0,defkephi-1,3161.127795410156,4074.2230712890623
NCBI783,P08,global,11,62,3.6251216561647355,0.956,1.0,0,dpinnhim-1,7018.721435546875,4798.2998046875
NCBI783,P08,global,12,5,2.333792629376646,1.0,1.0,0,epnlmokm-1,4420.573168945312,2814.1522338867185
NCBI783,P08,global,13,4,4.360125120999228,0.487,1.0,0,gdkndmgh-1,2181.1471069335935,2376.293493652344
NCBI783,P08,global,14,16,2.333792629376646,1.0,1.0,0,gcleadie-1,2107.058068847656,2103.4652832031247
NCBI783,P08,global,15,43,3.468178808185175,0.986,1.0,0,gfidakcc-1,1771.621630859375,1957.7156005859374
NCBI783,P08,global,16,5,1.0749079965649289,1.0,1.0,0,ghjjpkja-1,3984.0819824218747,378.9955917358398
NCBI783,P08,global,17,1,1.1229194673535678,1.0,1.0,0,ghmcbjhh-1,3637.0176025390624,830.5737854003906
NCBI783,P08,global,18,21,2.0689201012293386,1.0,1.0,0,gjfchpii-1,3539.9279296874997,623.7906890869141
NCBI783,P08,global,19,11,3.9037951189247044,0.8485,1.0,0,gkaoicic-1,3567.0710693359374,182.62661666870116
NCBI783,P08,global,20,4,1.2738092956071698,1.0,1.0,0,gpbeemnh-1,4412.947241210937,4320.601464843749
NCBI783,P08,global,21,127,7.336702596872972,0.001,0.003,15,ibajceci-1,2357.021984863281,3651.73447265625
NCBI783,P08,global,22,98,3.6964855006064017,0.9335,1.0,0,jimljjpl-1,2208.4282470703124,4627.515380859375
NCBI783,P08,global,23,1,1.1229194673535678,1.0,1.0,0,jilbinmp-1,2280.763952636719,4854.845141601562
NCBI783,P08,global,24,17,2.9285305032069626,1.0,1.0,0,jmhdoloe-1,1755.3386108398438,4324.843579101563
NCBI783,P08,global,25,27,2.250770292747287,1.0,1.0,0,kckoolgf-1,3450.4652221679685,3302.6330810546874
NCBI783,P08,global,26,10,2.5153055488424156,1.0,1.0,0,kbdlahff-1,3576.474194335937,2830.8930419921876
NCBI783,P08,global,27,40,4.840296190240953,0.1895,0.5685,0,makhkhfe-1,3870.100634765625,4624.933007812499
NCBI783,P08,global,28,1,1.0749079965649289,1.0,1.0,0,mpfkehkd-1,3150.8406372070312,1655.3076599121093
NCBI783,P08,global,29,17,3.1878694213000394,1.0,1.0,0,ndpadhei-1,2823.933666992187,952.77197265625
NCBI783,P08,global,30,19,2.242000562066965,1.0,1.0,0,nmdcedgb-1,3165.5392456054688,1953.8667358398436
NCBI783,P08,technical,0,331,4.27636074481884,0.6025,1.0,0,noeogcjh-1,3012.040576171875,2391.687084960937
NCBI783,P08,technical,1,139,2.86527325119439,1.0,1.0,0,dhnljlhj-1,3123.3602783203123,3958.483203125
NCBI783,P08,technical,2,248,3.2878022131819487,0.9975,1.0,0,fflfgagh-1,2140.4525268554685,1078.4258789062499
NCBI783,P08,technical,3,89,5.021235104982432,0.2205,0.6615,0,ndidgmgm-1,2690.8607299804685,1666.346350097656
NCBI783,P08,technical,4,261,4.058283329121735,0.749,1.0,0,fibhceii-1,1708.5758483886718,1674.2248291015624
NCBI783,P08,technical,5,137,2.737385050184606,1.0,1.0,0,gecngenn-1,1984.408837890625,2473.960693359375
NCBI783,P08,technical,6,121,3.229461760214325,1.0,1.0,0,gfblafcc-1,1680.790020751953,2292.668310546875
NCBI783,P08,technical,7,41,6.099577268555539,0.081,0.243,0,gkmjmbod-1,3349.095666503906,548.9636596679687
NCBI783,P08,technical,8,93,1.9257300426785544,1.0,1.0,0,kpbokgik-1,3833.3190429687497,3798.9247558593747
NCBI783,P08,technical,9,134,4.421426320912014,0.493,1.0,0,bjpddppj-1,2972.8490600585938,3179.9010498046873
NCBI783,P08,technical,10,6,1.878262234608783,1.0,1.0,0,defkephi-1,3161.127795410156,4074.2230712890623
NCBI783,P08,technical,11,62,2.494265595544872,1.0,1.0,0,dpinnhim-1,7018.721435546875,4798.2998046875
NCBI783,P08,technical,12,5,1.257001252459007,1.0,1.0,0,epnlmokm-1,4420.573168945312,2814.1522338867185
NCBI783,P08,technical,13,4,2.800518180876102,1.0,1.0,0,gdkndmgh-1,2181.1471069335935,2376.293493652344
NCBI783,P08,technical,14,16,2.3201449802821204,1.0,1.0,0,gcleadie-1,2107.058068847656,2103.4652832031247
NCBI783,P08,technical,15,43,2.620315095567924,1.0,1.0,0,gejcnlpa-1,1824.489306640625,2041.675927734375
NCBI783,P08,technical,16,5,1.2846588758329018,1.0,1.0,0,ghjjpkja-1,3984.0819824218747,378.9955917358398
NCBI783,P08,technical,17,1,0.6948903579960249,1.0,1.0,0,ghmcbjhh-1,3637.0176025390624,830.5737854003906
NCBI783,P08,technical,18,21,1.6035325472838335,1.0,1.0,0,gjfchpii-1,3539.9279296874997,623.7906890869141
NCBI783,P08,technical,19,11,2.9777101882226265,1.0,1.0,0,gkaoicic-1,3567.0710693359374,182.62661666870116
NCBI783,P08,technical,20,4,2.5879495572437397,1.0,1.0,0,gpbbbgdc-1,4394.595043945313,4333.014453125
NCBI783,P08,technical,21,127,5.315312060584748,0.145,0.43499999999999994,0,ianajajp-1,2243.16494140625,3567.344580078125
NCBI783,P08,technical,22,98,2.7720456158736306,1.0,1.0,0,jinkhagg-1,2280.697961425781,4674.209765625
NCBI783,P08,technical,23,1,0.5887970159912173,1.0,1.0,0,jilbinmp-1,2280.763952636719,4854.845141601562
NCBI783,P08,technical,24,17,3.5564246183313175,0.9685,1.0,0,jmhdoloe-1,1755.3386108398438,4324.843579101563
NCBI783,P08,technical,25,27,1.4236784372824771,1.0,1.0,0,kckoolgf-1,3450.4652221679685,3302.6330810546874
NCBI783,P08,technical,26,10,1.7968391023083476,1.0,1.0,0,kbdlahff-1,3576.474194335937,2830.8930419921876
NCBI783,P08,technical,27,40,3.439550857519664,0.9905,1.0,0,makhkhfe-1,3870.100634765625,4624.933007812499
NCBI783,P08,technical,28,1,1.3109610795621296,1.0,1.0,0,mpfkehkd-1,3150.8406372070312,1655.3076599121093
NCBI783,P08,technical,29,17,2.1284258332978823,1.0,1.0,0,ndfcnmcl-1,2671.955908203125,994.4701171875
NCBI783,P08,technical,30,19,2.5292453412932034,1.0,1.0,0,nmdcedgb-1,3165.5392456054688,1953.8667358398436
NCBI783,P08,context,0,331,3.856015215098999,0.8885,1.0,0,noeogcjh-1,3012.040576171875,2391.687084960937
NCBI783,P08,context,1,139,2.4533117775642888,1.0,1.0,0,dhnljlhj-1,3123.3602783203123,3958.483203125
NCBI783,P08,context,2,248,2.757523913410024,1.0,1.0,0,fflfgagh-1,2140.4525268554685,1078.4258789062499
NCBI783,P08,context,3,89,5.2154211724899,0.1935,0.5805,0,namnklej-1,2771.3839111328125,1669.4308166503906
NCBI783,P08,context,4,261,3.2991154988865214,0.9995,1.0,0,fibhceii-1,1708.5758483886718,1674.2248291015624
NCBI783,P08,context,5,137,2.735517160187187,1.0,1.0,0,gecngenn-1,1984.408837890625,2473.960693359375
NCBI783,P08,context,6,121,2.4213247579109103,1.0,1.0,0,gfblafcc-1,1680.790020751953,2292.668310546875
NCBI783,P08,context,7,41,5.173928821112682,0.201,0.603,0,gkmjmbod-1,3349.095666503906,548.9636596679687
NCBI783,P08,context,8,93,1.6156866503329077,1.0,1.0,0,kpbokgik-1,3833.3190429687497,3798.9247558593747
NCBI783,P08,context,9,134,3.724569943593475,0.9375,1.0,0,bjpddppj-1,2972.8490600585938,3179.9010498046873
NCBI783,P08,context,10,6,3.056652467715165,1.0,1.0,0,defkephi-1,3161.127795410156,4074.2230712890623
NCBI783,P08,context,11,62,2.3376420457417466,1.0,1.0,0,dphhojoa-1,7056.468408203124,4823.242822265624
NCBI783,P08,context,12,5,2.573851375697678,1.0,1.0,0,epnlmokm-1,4420.573168945312,2814.1522338867185
NCBI783,P08,context,13,4,2.1954625555251828,1.0,1.0,0,gdkndmgh-1,2181.1471069335935,2376.293493652344
NCBI783,P08,context,14,16,1.6526306846085672,1.0,1.0,0,gefmflfc-1,2071.6222412109373,2062.0692871093747
NCBI783,P08,context,15,43,2.126878442894806,1.0,1.0,0,gejcnlpa-1,1824.489306640625,2041.675927734375
NCBI783,P08,context,16,5,1.024275699886496,1.0,1.0,0,ghjjpkja-1,3984.0819824218747,378.9955917358398
NCBI783,P08,context,17,1,0.3835574618136267,1.0,1.0,0,ghmcbjhh-1,3637.0176025390624,830.5737854003906
NCBI783,P08,context,18,21,1.318599376256422,1.0,1.0,0,gjfchpii-1,3539.9279296874997,623.7906890869141
NCBI783,P08,context,19,11,2.664719166642792,1.0,1.0,0,gkaoicic-1,3567.0710693359374,182.62661666870116
NCBI783,P08,context,20,4,3.2414989722946976,1.0,1.0,0,gpbbbgdc-1,4394.595043945313,4333.014453125
NCBI783,P08,context,21,127,4.290504643648292,0.597,1.0,0,ianajajp-1,2243.16494140625,3567.344580078125
NCBI783,P08,context,22,98,2.2561372106879047,1.0,1.0,0,jimljjpl-1,2208.4282470703124,4627.515380859375
NCBI783,P08,context,23,1,0.2871327710768964,1.0,1.0,0,jilbinmp-1,2280.763952636719,4854.845141601562
NCBI783,P08,context,24,17,2.8212465763964403,1.0,1.0,0,jmhdoloe-1,1755.3386108398438,4324.843579101563
NCBI783,P08,context,25,27,0.9569815687300204,1.0,1.0,0,kckoolgf-1,3450.4652221679685,3302.6330810546874
NCBI783,P08,context,26,10,1.7851713594007454,1.0,1.0,0,kbdlahff-1,3576.474194335937,2830.8930419921876
NCBI783,P08,context,27,40,3.021206717362639,1.0,1.0,0,makhkhfe-1,3870.100634765625,4624.933007812499
NCBI783,P08,context,28,1,0.9208808137158424,1.0,1.0,0,mpfkehkd-1,3150.8406372070312,1655.3076599121093
NCBI783,P08,context,29,17,2.019897821835221,1.0,1.0,0,ndfcnmcl-1,2671.955908203125,994.4701171875
NCBI783,P08,context,30,19,2.0755659362658028,1.0,1.0,0,nnflkbpm-1,3135.6338134765624,1972.8207397460938
